User Name,Ratings,Mini Review,Date,Reviews
SAIFUDDIN MOLLA,1.0 out of 5 stars,"
Bluetooth doesn't work
",7 October 2019,"
Mivi thunder beats doesn't connect to my phone. My phone model is redmi note 4.Although I ordered one of these earlier and that product doesn't connect to my phone. At the time I thought that it was defective. So I replaced the first order. After getting this product the same problem still happens.So I request to me please call me and solve this problem.
"
Monalisha goswami,5.0 out of 5 stars,"
A very goog product in a great price.
",8 October 2019,"
I am just afraid of buying this product as some peoples are disappointed in reviews but after using it I am just completely satisfied with this product the battery life is just 6-7 hours but except that the sound and bass is good. You won't be disappointed.
"
sandeep reddy a,5.0 out of 5 stars,"
Value for money wireless earphones!!
",7 October 2019,"
I got these ThunderBeats for Rs.999, At this price point these are the best wireless earphones you can go for.->gave me about 6-7 hours of battery backup when used at volume levels less than 75% and I should say these are pretty loud earphones, so definitely you never going to listen to music at 100% volume for long time.->These connect very quickly to your device, thanks for Bluetooth 5.0 it really makes difference->Range is about 10-15 feet when the devices are at line of sight. When you are indoor it works seamlessly if you are in next room but if there are 2 walls in between the source and earphones it starts breaking.->I like the Design and built quality of ThunderBeats->If you are a bass-head, you may not love it but you will like it.I will definitely recommend these  earphones at this price point.Note: I got these without case
"
Steffin painel,5.0 out of 5 stars,"
One of the best at this price range, magnetic ear tips are the add on
",5 October 2019,"
Purchased mivi thundebeats in the amazon sale for 999rs.Totally worth the price.Look and feel is good , with the magnetic tips it is quite comfortable and looks pretty good.Bass is also good.Sound quality and clarity is also good.1 year warranty with product replacement is also available.
"
Unwrap Impulse,4.0 out of 5 stars,"
Bang for the buck! | Value for money.
",24 October 2019,"
I purchased the Mivi Thunderbeats during the sale for just ₹999, making it an incredible deal.Having used them for almost 2 weeks now, here's what I think about the product.Build Quality: The earphones are cased in metal, have flat tangle-free wires & very good quality ear tips and earfins. So, for the price, the build great. Rough usage won't be a problem as well.Sound quality: The bass is really punchy. If you like EDMs, you'll love these earphones. The mids felt a little muffled and the treble could've been just a bit better, but for the price, the is little room for complaint. Overall sound quality is enjoyable and really good for wireless earphones under ₹1,500.Comfort: The earbuds feel a little heavy because of the metal casing, so comfort is compromised a bit. Although you can wear it for an hour or so without any worries, beyond that you might feel a little uncomfortable. It's not bad, but definitely could've been better.Pros:1. Good build quality2. Decent sound quality3. Good mic quality.4. Ipx4 water resistant.5. Best for sports.6. Magnetic earbuds.Cons:1. Not very comfortable.2. No case provided.Overall, if you're getting them for a good price and you're a fan of bass, I believe, you won't regret this purchase.You can watch my detailed unbiased review on my channel, Unwrap Impulse on YouTube.
"
SANJAY KUMAR,5.0 out of 5 stars,"
BETTER THAN BOAT COLLAR . GO FOR IT
",3 November 2019,"
I have used this earphone for since 25 days then , i felt  pleased to review it . Talking about its feature it can connect with 2 devicesNoise cancellation is very good you can not hear surrounding sound while listening music , the base , trible is also very good . The comfort is also good . The built quality of the product is very good .It is light weight.No other earphone can give these all features such as bluetooth 5 , 10 hrs playbackVery good battery capacity in this price segmentBetter than Boat collar earphone . Go for it
"
Mohit Nautiyal,3.0 out of 5 stars,"
Great product at 1000/- INR, But not meant for PUBG.
",17 October 2019,"
Let's talk the cons first, as they are very few.Cons:1. They don't support any Qualcomm aptX version (and honestly no other Bluetooth earphones would have this technology at this price point). But just be aware that it doesn't have it as some answers in the product listing falsely claim it to be having it.IMPACT: Not great for gaming usage (significant ~1second audio delay when playing online shooter multiplayer games such as PUBG mobile, COD, etc.)2. It could be a personal opinion, but I couldn't use them for more than 40-45 minutes. My cartilage starts to pain with any usage exceeding that time. (Tried all combos of ear hooks and earpiece).EDIT#1: With time, it seems my ear is getting used to it and now the continuous usage time extends to around 90 mins. which is decent. Anyway, it is recommended to remove earpiece for at least a minute once every 60 mins. (read somewhere, don't believe blindly :) ) to prevent damage to the ear from long term use.3. The outer casing of the earpiece is umm... LARGE for a Bluetooth earphone. It could work for some, but not for others. Again, a personal opinion.4. Some background static noise is always present during playback. You can notice this when you stop music playback, the static continues in the background until next 30-40 seconds and then it stops.Pros:1. Great sound quality. Can beat products from many big brands.2. Includes magnetic locks on ear tips. Just lock them around your neck when not plugged into the ear.3. Decent battery backup.4. Lightweight and compact (except the large eartips I talked about earlier in the review).5. Quickly connects6. It features Qualcomm cVc (Clear Voice Capture) and it works GREAT. You wouldn't notice it, BUT the people you are calling definitely would. It filters the background noise captured from your mic and the other party hears a crystal clear voice over the call.7. With all the above pros and at a meagre price tag of 1000/- INR during the sale, it offers a great value for money.Conclusion:-->BUY: Any usage NOT requiring real-time response such as listening to music, calling, video calling, etc.DON'T BUY: Gamers wanting an almost real-time response.The recent surge in demand for Bluetooth earphones arises mostly from the people buying smartphones which lack a standard 3.5mm jack (eg. OnePlus 6T and above, iPhone, etc).
"
JeEvRaJ KaNeKaR,5.0 out of 5 stars,"
Best among class
",12 October 2019,"
Awesome experience go for itThe Mivi Thunderbeats is a decent entry-level Bluetooth headset. For Rs.999 it offers decent quality sound output, along with support for aptX which is rare at this price point. The design allows you to mix and match ear hooks and ear tips, and the magnets help a lot when in use and for storage. You can wear this headset for long durations and it can also be used while working out. While we would have preferred a more neutral sound signature, a lot of people do like exaggerated bass. If this works for you, the Mivi Thunderbeats offers good value for money.Pros:-1.Support for aptX codec2.In-line audio controls3.Magnetic earpieces
"
Karan Mehta,5.0 out of 5 stars,"
Best quality Bluetooth earphones in reasonable price range
",5 October 2019,"
I ordered last week, it got delivered in two days only. Well packed and nice installation kit.I really liked them and they are value for money.Battery life 4/5Built 4.5/5Sound quality 4.5/5Packing 4/5Design 4.5/5Overall 4.5/5Best Bluetooth earphones under 2000 range.Must buy
"
Ig:- traveller_indian_,1.0 out of 5 stars,"
Pain in ears
",3 October 2019,"
Mivi placed no doubt in the advertising its products through YouTubers and many more places but forgot to work on its product.I have been using this pair of wireless earphones for a month straight. At the end of the day can't feel me ears as they pain due to the weight and unbearable fitment of ear hooks.If you got elephant ears go for itBut humans please go for soni ci100
"
Richie,5.0 out of 5 stars,"
MIVI THUNDERBEATS wireless
",5 November 2019,"
This is my 2nd time buying mivi thunderbeats previous one was old version but i have enjoyed it through all the time like work out and goind on bike. Mivi thunder beats gives good quality sound and bass in this price range...mivi has done a great job for providing this great product. Which changes our daily life with music. Which have also improved in new version. Of mivi thunder beats....im fully satisfied with the product.....and very happy....no need to think twice about the product....just go for it.......add MUSIC to your daily LIFE..
"
Monica Kakati,5.0 out of 5 stars,"
Mivi Thunder beats Bluetooth headphones review
",5 October 2019,"
Bought this product during the Amazon sale. Superb value for money product.Tested this product during my morning run, the earphones didn't disappoint me. The connectivity, sound quality and noise cancellation works perfectly. The bass is decent not too loud. The supporting clips is very during the run. I have tried other blue tooth headphones in this price range but the earplugs tend to fall off during the run or workout. Overall it is a great product.
"
mahesh ap,5.0 out of 5 stars,"
Must buy
",9 October 2019,"
One of the best Bluetooth earphone I have ever used. Beasts are awesome... And best part is I can used it while traveling on bike.. Doesn't fall at all and controls are in the headset easy to pick up the call or change music and decent battery back up. Good value for many product.
"
deep,5.0 out of 5 stars,"
Overall the earphones
",9 October 2019,"
1. SOUND- the sound of earphones is crystal clear so is the bass, The base of the earphones is amazing and it makes the listening experience whole lot experience. These earphones are perfect for gym due to extremely heavy base and sound.2. QUALITY- The quality of earphones is good they say them to be waterproof but some spills of water on my headset and that was the reason it was spoiled.3. FIT- Because of the hooks and its adjustable size and adjustable size of earbuds they give you an amazing sound experience. I wear them while running and gymming and they never come out of the ear they are so well fitted and good.
"
Amazon Customer,5.0 out of 5 stars,"
Excellent!
",3 October 2019,"
Worth buying, Particulerly @999 its a champion product. Excellent sound quality and battery back up. Under normal usage it ll last for atleast 24hrs on single charge. No connectivity issue, those who wants buy Bluetooth can go for this product without secand thought!.👌
"
Rishard Dsouza,5.0 out of 5 stars,"
Superb earphone excellent bass quality and noise cancellation
",16 October 2019,"
Excellent product by mivi, totally recommend it. Was looking for a good earphone for sometime which delivered deep bass and good noise cancellation and this one delivers both. Seller is excellent and prompt to in dispatch ensuring the product is delivered on time.
"
Vikrant Shevate,5.0 out of 5 stars,"
Overall quite happy with the product
",9 October 2019,"
Excellent Bass Quality and Noise cancellation Makes it very worthy!The overall quality of the earphone is very nice, the ear buds are very soft and does not give irritation feeling as such!With Constant use, battery lasts long for around 7-8 hours which is more than sufficient if you are a moderate user.Overall quite happy with the product.
"
Shramona ,5.0 out of 5 stars,"
Satisfied
",3 October 2019,"
I was pleasantly surprised at how good the sound quality is. Got it on Amazon sale for 999, totally a steal!The battery backup is pretty awesome too and so is the Bluetooth connectivity, didn't have any issues pairing. The best part is that the bass isn't too overwhelming, like those mid range ones which have the bass amplified. It's pretty balanced.
"
gg,5.0 out of 5 stars,"
Nice Bluetooth headphones!!
",18 October 2019,"
Not a professional reviewer, personally I think. Amazing grab for me during great Indian festival, the item is amazing in every sense and it's durable too. Bluetooth connectivity area range is okay we cannot expect more than 13 to 15 meters, I took it mainly for music and gaming  but in gaming I found a little lag in real time sound also I didn't knew Bluetooth devices may interfere latency of my phone while gaming.  Great for jogging, exercising, workout, music and all but not recommended if you are planning to use it while riding, because of amazing  noise cancellation of this headset we cannot fully concentrate on road. Great headset in the segment.
"
Nandavyas,5.0 out of 5 stars,"
Superb product worth every penny
",9 October 2019,"
This is a superb product and worth every penny spent. The bass is super good and the quality of the wire is excellent along  with the built. Noise cancellation is good as well. The earphones look a little big at the start but they are very good once you get used to it .
"
Ankit,5.0 out of 5 stars,"
BETTER THAN THE BEST IN CURRENT WORLD.
",12 October 2019,"
The best affordable wireless earphones on Earth right now. The ThunderBeats deliver a snug fit and a well-balanced, fun and energetic sound. There's decent warmth and depth in the bass, topped with a clear and crisp midrange. The build quality adds another cream in the cake. They serve up a musical and entertaining performance, overflowing with energy and detail and high sound quality. They offer a more discreet listening experience, while their snug fit tends to deliver decent levels of isolation from the outside world for noise cancellation. A sensational pair of in-ear headphones.
"
Jeet Mitra,5.0 out of 5 stars,"
Really a thunderbeats.
",3 October 2019,"
The bass of this earphone is balanced not too much overpowering the highs and lows. Highs and lows are crystal clear. Battery backup is good.enough for my type of usage. Qualacomm cvc Noice cancellation works pretty well in streets. So dont listen to music while crossing roads. At 999 it is a great product better than boat 255.
"
Ashik,5.0 out of 5 stars,"
Awesome product!!
",7 October 2019,"
I purchased this product two weeks ago and I'm very much satisfied with it. Build quality of the product is premium and the sound quality is awesome with superior bass effect. Battery backup is decent and call clarity is good. In my opinion, this is truly a value for money product. Cheers to MIVI for producing such an exquisite product.
"
Vishal Pratap Singh,5.0 out of 5 stars,"
Best in class
",8 November 2019,"
I have fallen in love with this device. I switched to thunderbeat from boat bassheads and I am completely satisfied with this.Bass is to point not too harshVocals are balancedI am using it daily with my laptop and phone and never faced a single problem with connectivity.Provides a comfortable fit.And voice cancellation is the thing that really surprised me.Best you can get in this range
"
SoLTY,5.0 out of 5 stars,"
Great earphones, great quality for the price
",11 October 2019,"
Great Bluetooth Earphones, Sound quality is great for music, call etcWe get good amount of volume on phone call as wellUsability is great my dad is able to use it without instructions
"
Ragesh,5.0 out of 5 stars,"
MIVI TB!!!! value for Money
",22 October 2019,"
I ordered this product because of 30Feet coverage and it has good back up battery (6-7 hours) used for both call and music.I Used this headset while Jog which is fits good into my ears. Built quality is good. Especially the magnet in the ear piece gives comfort and not fall when we are in movement.Go for it. It is value for money
"
yusuf a kalimee,5.0 out of 5 stars,"
All in all, it's budget friendly product with simple functions. So it's worth to buy.
",13 October 2019,"
Firstly, if the connectivity is concerned it's quite good. Secondly, the bass is amazing and the modulation is up to the mark. As far as if it is evaluated on the basis of price, I would strongly recommend this headphones not only due to its good battery life but also the build quality seems realible enough. However, an improvisation could be done by making it waterproof along with little bit of increment in monetary value.
"
Vasu,5.0 out of 5 stars,"
Excellent choice in Bluetooth earphone.
",9 November 2019,"
Sound quality is very good. I have used few other bluetooth earphones but this is best at this range. Bass quality is amazing. I have not used much still so I can't really comment on battery life but with whatever I used, I got 6+ hours of time with 80% volume.Only con is, this Bluetooth earphones are little heavy but you will use to it as you use regularly.
"
Amazon Customer,5.0 out of 5 stars,"
Nice Product
",4 November 2019,"
The sound quality is great. There seems to be no issue till now. It's a safe and a good buy. Highly recommend!Impressed with the after sales service.The customer care is pro active just in case anyone has any issues. There is one year free replacement as well.Will update my reviews again in a month or two if I find any changes .
"
Shashi Kant Prasad,4.0 out of 5 stars,"
Great features at an amazing price. Though a little bit bulkier and feels pain.
",16 November 2019,"
Though noise cancellation and bass can be better, but not at this price point.It feels a bit bulkier, but is tolerable. You have to compromise somewhere if you are targeting this price point. Other than that amazing earphones. Kudos to Amazon for delivering it in less than 2 hours, without any packaging and simultaneously keeping even the outer plastic covering scratch free.Edit:- After using for two-three hours continuously, one can feel pain in the ears.
"
Dhirendra,1.0 out of 5 stars,"
Decent bluetooth earphones.
",4 January 2020,"
I bought it for Rs. 1299 under some lightning deal.There are bluetooth earphones.Pros-1. Great sound quality.2. Wire quality is good.3. There is a wire-lock mechanism which is good. It helps in reducing the cable length which further helps in keeping the product tangle-free.4. Noise-cancellation is good.5. There are large magnets on the backside of both the earbuds. It is really helpful while you are not using these. These help keeping the earphone around your neck.6. Cheap.Cons-1. The size of the magnets is way too large. Not good-looking.2. Because of the large size of the magnets, the ear-buds have become quite large. Hence they come out of ears quite easily. Very bad.3. The button panel provided is of very cheap quality.4. The wire length is small. It should have been somewhat more.5. Not suitable for running. The earbuds come out as soon as you start running. Also not suitable for the gym. Really bad.Final comment- If you are low on budget, these earphones are just fine. If you don't have a very tight budget issue, go for Realme Bluetooth buds. Those are better valued for money. I won't recommend Mivi Bluetooth earphones if you don't have a big issue of budget.Update- It has not been even 1 month and the earphone stopped working. Garbage.I would recommend not to purchase it at all. Worst earphone.
"
Amazon Customer,1.0 out of 5 stars,"
Don't get this !
",5 November 2019,"
I got a piece which was not looking as a new piece in any condition and after just an hour of usage it's buttons doesn't work and the way it was sent in packing it was not at all even looking it was straight from the manufacturer! There was no taper seal or seal on the product box, everything in the box are mispaced . Later i got replacement and the same with respect to the box and things inside it , the second one much worse, only one ear piece was working so had to ask for a refund , don't waste your money and time on this product!
"
Vrindar K. Kelkar,5.0 out of 5 stars,"
Great Buy
",9 October 2019,"
Absolute Great Product, great for normal usage, as well as work out schedules, no problem in bluetooth functionality, great replacement for wired products.
"
Dhawal Joshi,1.0 out of 5 stars,"
Ear pains after half hour usage and very low microphone volume ( close to absent )
",27 December 2019,"
The sound quality was decent, didn't get time to explore battery life as it was quite painful to wear for more than 10 mins even after trying every possible earbud combo. Microphone volume during calls was horrible and at times it auto disconnected and connected. Constant beeping while playing music. Even cancelled calls on its own a few times.
"
Mandar.M.Mhatre,2.0 out of 5 stars,"
Very poor quality of sound
",9 October 2019,"
Sound quality not as expected. It lags when talking an a call also when we start to speak initial word are not heard by the person whom I am speaking to.For example (""hi how are you"")from the above sentence "" hi how "" is not heard only "" are you "" is heard clearly.
"
Naveen Bharmoria ,5.0 out of 5 stars,"
Awesome
",20 October 2019,"
After 5 days of usage.. Iam writing this reviewI love this earphone....🤩😘😍😘Value for money got it by Rs. 1199😃Sound quality crystal clear...😉Terrific base..😘😋6-7 hour battery life in 60% volume...😍Mic is decent ..other person on the line can't hear voice clearly sometimes...🤨Earhooks gives pain after 1 hour of usage 😑😑
"
Jagan Reddy Ikkada,5.0 out of 5 stars,"
Awesome Product
",3 October 2019,"
I'm using the product and its very good and  the best product from the one i used earlier.and would like to see the Quality accessories like  this in future too..Thanks for the Quality and Best product.Regards
"
Sourabh Choudhary,4.0 out of 5 stars,"
A very good product..bohot hard bohot hard..😉
",5 October 2019,"
Frist of all the product looks amazing..the gun mettle finishing is awsome..now comes to real part..the SOUND quality..to be honest the sound quality is good bass is awsome and nearly perfect..fitting is realy good..u can find 3 adjustment sizes and make it comfertable for yourself..battery me be issue for person to person as it offer 7 hours battery with 70-80% volume which is good..a full charge gives me a full day usage..i am using these while jogging, then whole working hours (arround 7-8 hours) these are connected to my phone for taking call and also using for other stuff like videos on youtube, games etc..i found this product amazing at this prise point..at last i want to say that if u r searching for wireless earphones than u should give a try..u will get value for money product..i am saying this because i purchased ONE MORE PAIR OF THESE FOR MY SISTER..
"
Sharoj Pillai,5.0 out of 5 stars,"
Best
",5 October 2019,"
My first Bluetooth earphones and the quality is definitely up to the mark, and it exceeds expectations.Saw it in mumbaiker nikkil's video and thought of testing it.Definitely worth it..Got a good deal on such a great earphones
"
Ravi H R,3.0 out of 5 stars,"
Low Bass frequency:/
",29 November 2019,"
Well as we indian love high frequency of bass, this earphones will not give your expectations for bass.. Bass is clearly at low frequency. Other than this, good quality earphones in terms of noise cancelling, fitting in ears, connectivity. 3 star for this and minus 2 points for low Frequency of Bass.
"
